s1,ATP
unamed in model,LipidA
unamed in model,LipidA
unamed in model,LipidA
unamed in model,LipidA
unamed in model,LipidA
unamed in model,Phospholipid
unamed in model,Phospholipid 
T_2,FabF initiation
e8p4,FabF initiation
e8T_2,FabF initiation
e8act2,FabF initiation
e8act2p4,FabF initiation
e10p4,FabF initiation
e10T_2,FabB initiation
e10act2,FabB initiation
e10act2,FabB initiation
e10s3,FabB initiation
e10act2p4,FabB initiation
