paramter_names,parameter_values
Km1_1,170
Km1_2,370
Km1_3,160
Km1_4,450
Km1_5,48.7
k2_1f,60
k2_2f,7.46
k2_3f,40
k2_4f,7.46
k3_1f,40
k3_2f,7.46
k3_3f,5
k4_1f,10
k4_2f,17
k5_1f,56
k6_1f,20
k6_2f,20
k7_1f,5
k8_1f,14
k8_2f,7.46
k8_3f,8.2
k9_1f,56
k9_2f,56
k10_1f,38
k10_2f,7.46
k10_3f,8.2
