paramter_names,parameter_values
k2_1f,2.10E+03
k2_2f,0
k2_3f,2.10E+03
k2_4f,0
k3_1f,3.13E+00
k3_2f,3.13
k3_3f,3.13E+00
k4_1f,0.59
k4_2f,5.90E-01
k5_1f,0.272
k6_1f,4.00E+00
k6_2f,4
k7_1f,1.08E+02
k8_1f,3.13
k8_2f,0.00E+00
k8_3f,3.13
